Methods,,BETTEE,,BETTLP,,GPT2(6),,GPT2(0),,PatchTST,,DLinear,,TimesNet,,FEDformer,,Pyraformer,,Autoformer,,Stationary,,ETSformer,,LightTS,,Informer,,Reformer,,LogTrans,
Weather,96,,,,,0.162,0.212,0.181,0.232,0.149,0.198,0.176,0.237,0.172,0.22,0.217,0.296,0.896,0.556,0.266,0.336,0.173,0.223,0.197,0.281,0.182,0.242,0.3,0.384,0.689,0.596,0.458,0.49
,192,,,,,0.204,0.248,0.222,0.266,0.194,0.241,0.22,0.282,0.219,0.261,0.276,0.336,0.622,0.624,0.307,0.367,0.245,0.285,0.237,0.312,0.227,0.287,0.598,0.544,0.752,0.638,0.658,0.589
,336,,,,,0.254,0.286,0.27,0.299,0.245,0.282,0.265,0.319,0.28,0.306,0.339,0.38,0.739,0.753,0.359,0.395,0.321,0.338,0.298,0.353,0.282,0.334,0.578,0.523,0.639,0.596,0.797,0.652
,720,,,,,0.326,0.337,0.338,0.345,0.314,0.334,0.333,0.362,0.365,0.359,0.403,0.428,1.004,0.934,0.419,0.428,0.414,0.41,0.352,0.288,0.352,0.386,1.059,0.741,1.13,0.792,0.869,0.675
,Avg,,,,,0.237,0.27,0.252,0.285,0.225,0.264,0.248,0.3,0.259,0.287,0.309,0.36,0.815,0.717,0.338,0.382,0.288,0.314,0.271,0.334,0.261,0.312,0.634,0.548,0.803,0.656,0.696,0.602
ETTh1,96,,,,,0.376,0.397,0.422,0.428,0.37,0.399,0.375,0.399,0.384,0.402,0.376,0.419,0.664,0.612,0.449,0.459,0.513,0.491,0.494,0.479,0.424,0.432,0.865,0.713,0.837,0.728,0.878,0.74
,192,,,,,0.416,0.418,0.466,0.45,0.413,0.421,0.405,0.416,0.436,0.429,0.42,0.448,0.79,0.681,0.5,0.482,0.534,0.504,0.538,0.504,0.475,0.462,1.008,0.792,0.923,0.766,1.037,0.824
,336,,,,,0.442,0.433,0.488,0.464,0.422,0.436,0.439,0.443,0.491,0.469,0.459,0.465,0.891,0.738,0.521,0.496,0.588,0.535,0.574,0.521,0.518,0.488,1.107,0.809,1.097,0.835,1.238,0.932
,720,,,,,0.477,0.456,0.485,0.478,0.447,0.466,0.472,0.49,0.521,0.5,0.506,0.507,0.963,0.782,0.514,0.512,0.643,0.616,0.562,0.535,0.547,0.533,1.181,0.865,1.257,0.889,1.135,0.852
,Avg,,,,,0.427,0.426,0.465,0.455,0.413,0.43,0.422,0.437,0.458,0.45,0.44,0.46,0.827,0.703,0.496,0.487,0.57,0.537,0.542,0.51,0.491,0.479,1.04,0.795,1.029,0.805,1.072,0.837
ETTh2,96,,,,,0.285,0.342,0.318,0.368,0.274,0.336,0.289,0.353,0.34,0.374,0.358,0.397,0.645,0.597,0.346,0.388,0.476,0.458,0.34,0.391,0.397,0.437,3.755,1.525,2.626,1.317,2.116,1.197
,192,,,,,0.354,0.389,0.383,0.407,0.339,0.379,0.383,0.418,0.402,0.414,0.429,0.439,0.788,0.683,0.456,0.452,0.512,0.493,0.43,0.439,0.52,0.504,5.602,1.931,11.12,2.979,4.315,1.635
,336,,,,,0.373,0.407,0.406,0.427,0.329,0.38,0.448,0.465,0.452,0.452,0.496,0.487,0.907,0.747,0.482,0.486,0.552,0.551,0.485,0.479,0.626,0.559,4.721,1.835,9.323,2.769,1.124,1.604
