run_id,run_name,transformer_backbone,d_model,model_name,transformer_type,randomly_initialize_backbone,patch_length,random_seed,initial_lr,mask_ratio,train_batch_size,torch_dtype,train_ratio,val_ratio,test_ratio,hostname,git_commit,notes,gpu_type,program,code_path,args,username,execution_start_time,dataset_names
su8h3v7v,earnest-wildflower-1260,google/flan-t5-large,1024.0,BETT,encoder_only,True,8,13,0.001,0.3,32,bfloat16,0.7,0.1,0.2,gpu26.int.autonlab.org,bd0dd2a90ca53e0c319ccb115e9bb584eb1af177,Supervised finetuning on imputation datasets,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/reproduce/finetuning/../../scripts/finetuning/imputation.py,scripts/finetuning/imputation.py,"['--finetuning_mode', 'linear-probing', '--config', '../../configs/imputation/linear_probing.yaml', '--gpu_id', '1', '--init_lr', '0.001', '--max_epoch', '5', '--train_batch_size', '32', '--val_batch_size', '128', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/weather.csv']",XXXX-2,2024-01-31T12:56:41.953990,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/weather.csv
n3msj062,decent-water-1259,google/flan-t5-large,1024.0,BETT,encoder_only,True,8,13,0.001,0.3,64,bfloat16,0.7,0.1,0.2,gpu26.int.autonlab.org,bd0dd2a90ca53e0c319ccb115e9bb584eb1af177,Supervised finetuning on imputation datasets,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/reproduce/finetuning/../../scripts/finetuning/imputation.py,scripts/finetuning/imputation.py,"['--finetuning_mode', 'linear-probing', '--config', '../../configs/imputation/linear_probing.yaml', '--gpu_id', '3', '--max_epoch', '5', '--init_lr', '0.001', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/ETTm2.csv']",XXXX-2,2024-01-31T12:56:32.217138,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/ETTm2.csv
5yknx6wz,trim-fog-1258,google/flan-t5-large,1024.0,BETT,encoder_only,True,8,13,0.001,0.3,64,bfloat16,0.7,0.1,0.2,gpu26.int.autonlab.org,bd0dd2a90ca53e0c319ccb115e9bb584eb1af177,Supervised finetuning on imputation datasets,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/reproduce/finetuning/../../scripts/finetuning/imputation.py,scripts/finetuning/imputation.py,"['--finetuning_mode', 'linear-probing', '--config', '../../configs/imputation/linear_probing.yaml', '--gpu_id', '0', '--init_lr', '0.001', '--max_epoch', '5', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/ETTm1.csv']",XXXX-2,2024-01-31T12:56:19.707738,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/ETTm1.csv
qrgtn4v8,desert-lake-1257,google/flan-t5-large,1024.0,BETT,encoder_only,True,8,13,0.001,0.3,64,bfloat16,0.7,0.1,0.2,gpu26.int.autonlab.org,bd0dd2a90ca53e0c319ccb115e9bb584eb1af177,Supervised finetuning on imputation datasets,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/reproduce/finetuning/../../scripts/finetuning/imputation.py,scripts/finetuning/imputation.py,"['--finetuning_mode', 'linear-probing', '--config', '../../configs/imputation/linear_probing.yaml', '--gpu_id', '4', '--init_lr', '0.001', '--max_epoch', '5', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/ETTh2.csv']",XXXX-2,2024-01-31T12:56:08.086601,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/ETTh2.csv
3bp3b7j5,trim-donkey-1256,google/flan-t5-large,1024.0,BETT,encoder_only,True,8,13,0.001,0.3,64,bfloat16,0.7,0.1,0.2,gpu26.int.autonlab.org,bd0dd2a90ca53e0c319ccb115e9bb584eb1af177,Supervised finetuning on imputation datasets,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/reproduce/finetuning/../../scripts/finetuning/imputation.py,scripts/finetuning/imputation.py,"['--finetuning_mode', 'linear-probing', '--config', '../../configs/imputation/linear_probing.yaml', '--gpu_id', '5', '--init_lr', '0.001', '--max_epoch', '5', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/ETTh1.csv']",XXXX-2,2024-01-31T12:55:33.919664,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/ETTh1.csv
pbbw428y,sage-waterfall-1255,google/flan-t5-large,1024.0,BETT,encoder_only,True,8,13,0.001,0.3,4,bfloat16,0.7,0.1,0.2,gpu25.int.autonlab.org,bd0dd2a90ca53e0c319ccb115e9bb584eb1af177,Supervised finetuning on imputation datasets,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/reproduce/finetuning/../../scripts/finetuning/imputation.py,scripts/finetuning/imputation.py,"['--finetuning_mode', 'linear-probing', '--config', '../../configs/imputation/linear_probing.yaml', '--gpu_id', '2', '--init_lr', '0.001', '--max_epoch', '5', '--train_batch_size', '4', '--val_batch_size', '8', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/electricity.csv']",XXXX-2,2024-01-31T12:51:35.002914,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/electricity.csv
b1v3qvwr,clean-glade-1254,gpt2,,GPT4TS,encoder_only,False,1,13,0.001,0.3,64,bfloat16,0.7,0.1,0.2,gpu26.int.autonlab.org,bd0dd2a90ca53e0c319ccb115e9bb584eb1af177,Pre-training GPT4TS for imputation,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/reproduce/baselines/../../scripts/baselines/gpt4ts_imputation.py,scripts/baselines/gpt4ts_imputation.py,"['--config', '../../configs/imputation/gpt4ts_train.yaml', '--gpu_id', '5', '--n_channels', '7', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/ETTm2.csv']",XXXX-2,2024-01-31T11:27:01.880594,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/ETTm2.csv
fu3l5ev8,misunderstood-thunder-1253,google/flan-t5-large,64.0,TimesNet,encoder_only,True,8,13,5e-05,0.3,64,bfloat16,0.7,0.1,0.2,gpu26.int.autonlab.org,bd0dd2a90ca53e0c319ccb115e9bb584eb1af177,Pre-training TimesNet for imputation,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/reproduce/baselines/../../scripts/baselines/timesnet_imputation.py,scripts/baselines/timesnet_imputation.py,"['--config', '../../configs/imputation/timesnet_train.yaml', '--gpu_id', '4', '--d_model', '64', '--d_ff', '64', '--n_channels', '7', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/ETTm2.csv']",XXXX-2,2024-01-31T11:26:09.655771,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/ETTm2.csv
m311rsh1,grateful-star-1252,gpt2,,GPT4TS,encoder_only,False,1,13,0.001,0.3,32,bfloat16,0.7,0.1,0.2,gpu26.int.autonlab.org,bd0dd2a90ca53e0c319ccb115e9bb584eb1af177,Pre-training GPT4TS for imputation,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/reproduce/baselines/../../scripts/baselines/gpt4ts_imputation.py,scripts/baselines/gpt4ts_imputation.py,"['--config', '../../configs/imputation/gpt4ts_train.yaml', '--gpu_id', '3', '--n_channels', '21', '--train_batch_size', '32', '--val_batch_size', '128', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/weather.csv']",XXXX-2,2024-01-31T11:23:13.973022,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/weather.csv
o5dwm66q,twilight-sponge-1251,google/flan-t5-large,64.0,TimesNet,encoder_only,True,8,13,5e-05,0.3,32,bfloat16,0.7,0.1,0.2,gpu26.int.autonlab.org,bd0dd2a90ca53e0c319ccb115e9bb584eb1af177,Pre-training TimesNet for imputation,NVIDIA RTX A6000,/zfsauton2/home/XXXX-2/BETT/reproduce/baselines/../../scripts/baselines/timesnet_imputation.py,scripts/baselines/timesnet_imputation.py,"['--config', '../../configs/imputation/timesnet_train.yaml', '--gpu_id', '2', '--d_model', '64', '--d_ff', '64', '--n_channels', '21', '--train_batch_size', '32', '--val_batch_size', '128', '--dataset_names', '/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/weather.csv']",XXXX-2,2024-01-31T11:22:08.277774,/XXXX-14/project/public/XXXX-9/TimeseriesDatasets/forecasting/autoformer/weather.csv
