Dataset Name,Forecast Horizon,MSE,MAE,MAPE,sMAPE,RMSE,Opt. steps,Model name,ID,Timestamp
electricity,96,0.13822743,0.24170981,219.52722072601318,48.32843244075775,0.37178952,13356,exalted-thunder-570,cxqkrool,18-01-2024 01:05
electricity,720,0.21080174,0.3052203,251.09820365905762,57.10540413856506,0.4591315,12888,leafy-hill-569,f9er40vs,17-01-2024 11:42
ETTh1,96,0.38702115,0.4100364,890.0487899780273,76.17035508155823,0.62211025,378,soft-violet-446,qr7jd3qz,15-01-2024 15:41
ETTh1,720,0.4540832,0.47237045,938.3523941040039,86.88843846321106,0.673857,116,fast-spaceship-450,rxdfk4oj,15-01-2024 15:46
ETTh2,96,0.28776357,0.34461206,135.69399118423462,54.552412033081055,0.53643596,378,rare-feather-451,me77hdfx,15-01-2024 16:07
ETTh2,720,0.4027039,0.43874305,206.20696544647217,68.10357570648193,0.63458955,580,swept-dragon-452,pzx5xz5g,15-01-2024 16:44
ETTm1,96,0.292778,0.34885237,207.60345458984375,68.84105205535889,0.54108965,1593,comic-river-447,zf4stj05,15-01-2024 16:41
ETTm1,720,0.40461218,0.41576478,237.64560222625732,76.48045420646667,0.63609135,1042,young-rain-465,t8rrcuep,15-01-2024 19:02
ETTm2,96,0.17004403,0.2597059,104.88803386688232,44.70773637294769,0.41236395,1593,skilled-lake-448,driz5fdx,15-01-2024 16:39
ETTm2,720,0.36298874,0.38682273,143.4651255607605,57.63130187988281,0.6024855,1563,elated-waterfall-464,hlegox5w,15-01-2024 19:30
national_illness,24,2.8041155,1.1340535,253.23560237884521,80.59449195861816,1.6745493,63,hearty-sun-572,5i75c0u3,17-01-2024 05:04
national_illness,60,2.8932843,1.1319231,207.53436088562012,78.56473922729492,1.7009656,20,devout-morning-462,o48lk3zd,15-01-2024 16:39
traffic,96,0.39098525,0.28159282,277.6864290237427,50.932615995407104,0.6252881,17511,laced-darkness-468,oc1gzcr7,17-01-2024 08:24
traffic,720,0.4501161,0.30991006,288.92157077789307,54.60963845252991,0.6709069,16575,atomic-wave-518,de4v4rf8,17-01-2024 11:40
weather,96,0.15379323,0.2094269,1170.5885887145996,57.67136216163635,0.3921648,3402,noble-water-485,c8cy6ppy,15-01-2024 20:43
weather,720,0.3154239,0.33574787,1476.720905303955,77.83899903297424,0.56162614,2230,pretty-dragon-449,4qyeosdm,15-01-2024 17:28
