Dataset,Wandb Run (TimesNet),TimesNet Test Accuracy,Wandb Run (GPT4TS),GPT4TS Test Accuracy
Adiac,smooth-water-59,0.5652173913,jumping-breeze-177,0.5984654731
AllGestureWiimoteX,faithful-firefly-37,0.2085714286,winter-dragon-157,0.2371428571
AllGestureWiimoteY,charmed-forest-68,0.2228571429,apricot-morning-187,0.16
AllGestureWiimoteZ,super-voice-90,0.2214285714,golden-meadow-209,0.1157142857
ArrowHead,gallant-pond-50,0.36,absurd-wave-169,0.4285714286
Beef,cerulean-salad-55,0.4,cool-moon-173,0.1666666667
BeetleFly,toasty-moon-89,0.4,easy-totem-208,0.7
BirdChicken,azure-shadow-102,0.45,astral-plasma-221,0.55
BME,noble-haze-70,0.4666666667,denim-wave-189,0.3666666667
CBF,blooming-sun-88,0.7611111111,deft-snowball-207,0.83
Chinatown,dandy-haze-43,0.2740524781,fresh-spaceship-163,0.8571428571
ChlorineConcentration,splendid-planet-42,0.61796875,golden-valley-162,0.5651041667
Coffee,woven-serenity-52,0.9642857143,driven-surf-170,0.6785714286
CricketX,lucky-vortex-40,0.5230769231,vibrant-paper-160,0.5307692308
CricketY,astral-shadow-104,0.5307692308,jolly-durian-223,0.5205128205
CricketZ,fragrant-puddle-82,0.458974359,lunar-rain-201,0.3974358974
Crop,colorful-breeze-47,0.3877380952,grateful-aardvark-136,0.3408333333
DiatomSizeReduction,decent-forest-81,0.9673202614,elated-star-200,0.9869281046
DistalPhalanxOutlineAgeGroup,fancy-fire-86,0.5971223022,major-spaceship-205,0.4892086331
DistalPhalanxOutlineCorrect,celestial-snowflake-41,0.7862318841,sweet-voice-161,0.6594202899
DistalPhalanxTW,eager-spaceship-27,0.6043165468,smooth-capybara-147,0.618705036
DodgerLoopDay,likely-vortex-91,0.2375,daily-blaze-210,0.2
DodgerLoopGame,zesty-wave-106,0.4710144928,rural-silence-225,0.7173913043
DodgerLoopWeekend,fiery-salad-63,0.6376811594,young-glade-181,0.8043478261
Earthquakes,bright-star-53,0.7410071942,hearty-rain-171,0.7482014388
ECG200,smart-surf-110,0.83,lunar-sponge-229,0.79
ECG5000,unique-night-23,0.5837777778,golden-firefly-143,0.5837777778
ECGFiveDays,faithful-dew-57,0.5191637631,quiet-fog-175,0.5609756098
ElectricDevices,pleasant-energy-105,0.5518091039,wild-leaf-224,0.5057709765
FaceAll,cerulean-blaze-66,0.1769230769,prime-flower-185,0.1467455621
FaceFour,lemon-cosmos-39,0.8295454545,pretty-lion-159,0.6590909091
FacesUCR,dashing-grass-67,0.6785365854,winter-donkey-186,0.4624390244
FiftyWords,peach-flower-74,0.4989010989,graceful-capybara-193,0.4923076923
Fish,devoted-frog-72,0.7257142857,elated-morning-191,0.7314285714
