Dataset,Mask Ratio,FBfill (MSE),FBfill (MAE),Linear (MSE),Linear (MAE),Nearest (MSE),Nearest (MAE),Cubic (MSE),Cubic (MAE)
ETTm1,0.125,0.2725302,0.2931521,0.09395598,0.18285452,0.1472136,0.2165559,0.3342791,0.34526128
ETTm1,0.25,0.3954284,0.34078106,0.11421654,0.20184705,0.17131798,0.23389491,0.5390436,0.4235901
ETTm1,0.375,0.4749952,0.37754723,0.18816452,0.242488,0.25663745,0.27446634,0.84160024,0.5279296
ETTm1,0.5,0.6787764,0.4477176,0.2652853,0.290522,0.34631065,0.31563315,1.7151864,0.6795242
ETTm2,0.125,0.087266974,0.16448197,0.048700515,0.117304675,0.0623318,0.1322978,0.23705794,0.26203743
ETTm2,0.25,0.10392153,0.18219967,0.056943256,0.13197836,0.073274545,0.14611301,0.37327135,0.30898383
ETTm2,0.375,0.11521906,0.19578429,0.06286914,0.14139567,0.07849295,0.15422478,0.6259716,0.3757422
ETTm2,0.5,0.14441566,0.22239543,0.07996611,0.16167352,0.10180331,0.17670912,0.89946675,0.47680077
ETTh1,0.125,1.0079876,0.6019113,0.58309597,0.46574822,0.7119378,0.5232174,0.9847996,0.6608638
ETTh1,0.25,1.3107915,0.68589365,0.83348167,0.54046047,0.954137,0.58131677,1.4332488,0.7718727
ETTh1,0.375,1.3168391,0.7029947,0.84331477,0.57234246,0.97294044,0.6128657,2.6148434,1.0275329
ETTh1,0.5,1.1027087,0.64289427,0.83983094,0.55850726,0.96278435,0.6005262,3.6806207,1.2036101
ETTh2,0.125,0.19631971,0.28497484,0.10536902,0.20808129,0.13399023,0.22493872,0.45212805,0.40403652
ETTh2,0.25,0.20996992,0.29064003,0.11996955,0.22030121,0.15391678,0.24017282,0.83127874,0.5238667
ETTh2,0.375,0.22894454,0.31002697,0.141711,0.24300152,0.17525698,0.2624746,1.5713495,0.6717974
ETTh2,0.5,0.26530847,0.3294127,0.17109382,0.26359865,0.19940774,0.2785891,4.8233924,0.96569914
electricity,0.125,1.3495604,0.8175701,0.45812672,0.46554428,0.6084147,0.49155566,0.9242139,0.6103073
electricity,0.25,1.4470282,0.85686415,0.6535865,0.55352175,0.8152495,0.5820196,1.6190379,0.7693751
electricity,0.375,1.5180603,0.8878226,0.8361325,0.6368651,1.0310221,0.6754815,2.5069153,0.95920193
electricity,0.5,1.5811757,0.91485935,1.0017023,0.7118753,1.2388763,0.7663072,3.9775562,1.2133325
weather,0.125,0.104691714,0.08863057,0.05037064,0.05510883,0.06881058,0.066675216,0.3734723,0.114791915
weather,0.25,0.12710585,0.10386167,0.07549144,0.06502255,0.09395607,0.076115765,0.29696575,0.12461796
weather,0.375,0.12034887,0.11102114,0.06602476,0.06865335,0.081953794,0.08017489,0.9041386,0.17588177
weather,0.5,0.1243117,0.12659878,0.06631627,0.07788305,0.08643498,0.08972549,0.8308893,0.19691564
