Dataset,Mask Ratio,FBfill (MSE),FBfill (MAE),Linear (MSE),Linear (MAE),Nearest (MSE),Nearest (MAE),Cubic (MSE),Cubic (MAE)
ETTm1,0.125,0.059010673,0.14533646,0.03381882,0.108876295,0.054619133,0.14015196,0.052342687,0.13456939
ETTm1,0.25,0.06602149,0.1531583,0.035688087,0.11222005,0.05630068,0.14229782,0.059963223,0.14154743
ETTm1,0.375,0.0766384,0.16359387,0.038394388,0.11668545,0.06003644,0.14636096,0.071205296,0.1506886
ETTm1,0.5,0.09354151,0.17804031,0.042390663,0.12309047,0.065817,0.1527482,0.099854864,0.16395321
ETTm2,0.125,0.037764024,0.094650194,0.022715084,0.07734645,0.035246447,0.09075101,0.03299471,0.097123966
ETTm2,0.25,0.041259337,0.09993866,0.02457056,0.080670446,0.036458917,0.092553906,0.039195187,0.1033785
ETTm2,0.375,0.04554287,0.10635085,0.026772242,0.08452291,0.0380142,0.0951067,0.04723373,0.11126628
ETTm2,0.5,0.051264476,0.114588894,0.030080395,0.08993244,0.041294325,0.09990723,0.062437907,0.12236104
ETTh1,0.125,0.2108137,0.27523437,0.083238855,0.18327801,0.18083674,0.2597376,0.10658788,0.20698313
ETTh1,0.25,0.258616,0.2984017,0.09762518,0.19695294,0.19218768,0.26635492,0.127365,0.22384337
ETTh1,0.375,0.32285872,0.32629353,0.11890566,0.21468535,0.21502237,0.27722096,0.15976292,0.24500123
ETTh1,0.5,0.42278445,0.36643946,0.15799697,0.24164186,0.2567475,0.2967159,0.2354553,0.27870378
ETTh2,0.125,0.089622065,0.16748583,0.057519082,0.13426977,0.08523016,0.16231039,0.09121026,0.17172274
ETTh2,0.25,0.096538156,0.17565368,0.060474824,0.13837261,0.0875012,0.16484852,0.101109095,0.17865779
ETTh2,0.375,0.10500801,0.1852371,0.06442825,0.14420916,0.09077124,0.16889171,0.11836411,0.18985209
ETTh2,0.5,0.11837958,0.19909097,0.07082013,0.15292048,0.09718084,0.17602591,0.149942,0.2053116
electricity,0.125,0.21430697,0.29299495,0.07888246,0.1815605,0.18101922,0.27130657,0.091412894,0.1957186
electricity,0.25,0.2655779,0.32448488,0.09401148,0.19892174,0.1941319,0.2799825,0.11473364,0.21717227
electricity,0.375,0.33863863,0.36642498,0.117317125,0.22311209,0.21971977,0.29640272,0.15242852,0.24546038
electricity,0.5,0.44695124,0.42432612,0.15630199,0.25883836,0.26449212,0.3237915,0.22196253,0.28607568
weather,0.125,0.04054873,0.04247975,0.025523406,0.030728076,0.038290396,0.040501557,0.037896764,0.036471512
weather,0.25,0.04462845,0.04542578,0.027279288,0.03235018,0.03968437,0.04144338,0.043075345,0.03935606
weather,0.375,0.04821061,0.048866253,0.029704742,0.034388173,0.04150943,0.04290646,0.054825407,0.043236397
weather,0.5,0.053636134,0.0536256,0.03251657,0.037087034,0.044195946,0.045343753,0.068665914,0.04831074
